code,longitude,latitude
YNML,103.3,24.4
YNMZ,103.4,23.3
YNRL,97.8,24.0
YNSD,99.1,24.7
YNSM,101.0,22.7
YNTC,98.5,25.0
YNTH,102.7,24.1
YNWS,104.2,23.3
YNXP,101.9,24.1
YNYA,101.3,25.7
YNYL,99.3,25.8
YNYM,101.8,25.6
YNYS,100.7,26.6
YNZD,99.6,27.8
YONG,112.1,16.8
ZHNZ,113.1,34.5
ZJJD,119.4,29.8
ZJWZ,120.7,27.9
ZJZS,121.9,30.0
