station,latitude,longitude,height,source
GOHG,34.5657909100,127.2580103100,83.0142,cors_20260818113354.xls
KWNJ,35.1783753900,126.9102367800,71.6260,cors_20260818113354.xls
GSAN,36.8161654200,127.7867898900,183.1710,cors_20260818113354.xls
KUSN,36.0054715300,126.7615506400,49.0820,cors_20260818113354.xls
KUNW,36.2334793600,128.5742396900,174.9700,cors_20260818113354.xls
KIMC,36.1373982800,128.1422922200,94.6520,cors_20260818113354.xls
GHDG,35.2705390300,128.9850871200,50.0011,cors_20260818113354.xls
NAMY,37.7199920100,127.3000395500,152.7287,cors_20260818113354.xls
NAMW,35.4230463900,127.3961737800,179.8450,cors_20260818113354.xls
NAMH,34.7238765900,127.9816689100,48.8360,cors_20260818113354.xls
NSAN,36.1941640600,127.1123224400,74.7250,cors_20260818113354.xls
NONS,36.1863707200,127.0991244700,50.6840,cors_20260818113354.xls
DAMY,35.2358471500,127.0164661300,95.5487,cors_20260818113354.xls
DANJ,36.8924197800,126.8230462500,31.6820,cors_20260818113354.xls
TEGN,35.9063065600,128.8019674200,106.3770,cors_20260818113354.xls
DOND,37.9020525600,127.0607400600,140.4710,cors_20260818113354.xls
DONH,37.5069852500,129.1242034700,69.9410,cors_20260818113354.xls
MUAN,34.8174311900,126.4662259200,39.1477,cors_20260818113354.xls
MYSO,35.5017941700,128.8157654900,62.6933,cors_20260818113354.xls
BONH,36.9440105000,128.9145195000,354.9550,cors_20260818113354.xls
PUSN,35.2339375600,129.0748448900,158.6450,cors_20260818113354.xls
PSJA,35.3821881900,129.2487360100,148.6019,cors_20260818113354.xls
SNJU,36.3791645000,128.1444771400,111.5860,cors_20260818113354.xls
SMAN,35.7302747500,126.5279389400,39.5260,cors_20260818113354.xls
SGWI,33.2866327500,126.7506083600,33.3419,cors_20260818113354.xls
SEOS,36.7764091100,126.4942026900,52.2770,cors_20260818113354.xls
YEOJ,37.2785749400,127.5783035800,106.8125,cors_20260818113354.xls
SOUL,37.6185519700,127.0983481700,73.9010,cors_20260818113354.xls
SUNJ,35.9140761300,128.2561276300,79.0865,cors_20260818113354.xls
SEJN,36.5222133900,127.3031898900,181.1960,cors_20260818113354.xls
SUWN,37.2755146900,127.0542401900,83.8190,cors_20260818113354.xls
SWGS,37.2577268100,126.9831618600,65.7186,cors_20260818113354.xls
SONC,34.9574820800,127.4861349200,43.6170,cors_20260818113354.xls
SIAN,34.7868909300,126.1481480000,30.9802,cors_20260818113354.xls
YNGU,38.2908316100,128.1411296700,454.4867,cors_20260818113354.xls
YANJ,37.6968937300,126.9316222700,88.3690,cors_20260818113354.xls
YANP,37.4541889200,127.5056229200,71.5450,cors_20260818113354.xls
YODK,36.5334615000,129.4090508300,70.5760,cors_20260818113354.xls
YDKG,36.3629515400,129.3904365500,124.2838,cors_20260818113354.xls
YOWL,37.1825182200,128.4618132800,253.5860,cors_20260818113354.xls
YCMP,35.9729426600,128.9269240600,154.2569,cors_20260818113354.xls
