TSMIP,B028(TCU028),24.7001,121.0535,129.00
TSMIP,B029(TCU029),24.5577,120.7577,36.00
TSMIP,B030(TCU030),24.5863,120.8852,68.00
TSMIP,B032(TCU032),24.5221,120.8226,78.00
TSMIP,B033(TCU033),24.6836,120.8703,11.00
TSMIP,B034(TCU034),24.6380,120.8653,18.00
TSMIP,B035(TCU035),24.6141,120.7970,13.00
TSMIP,B036(TCU036),24.4469,120.7049,134.00
TSMIP,B037(TCU037),24.4919,120.6837,22.00
TSMIP,B039(TCU039),24.4897,120.7908,160.00
TSMIP,B041(TCU041),24.3898,120.6957,95.00
TSMIP,B043(TCU043),24.6866,120.9598,88.00
TSMIP,B045(TCU045),24.5399,120.9206,201.00
TSMIP,B048(TCU048),24.1781,120.5971,192.00
TSMIP,B049(TCU049),24.1773,120.6997,134.00
TSMIP,B050(TCU050),24.1799,120.6417,100.00
TSMIP,B051(TCU051),24.1598,120.6597,96.00
TSMIP,B052(TCU052),24.1959,120.7480,218.00
TSMIP,B053(TCU053),24.1925,120.6787,133.00
TSMIP,B056(TCU056),24.1570,120.6335,77.00
TSMIP,B059(TCU059),24.2661,120.5717,7.09
TSMIP,B060(TCU060),24.2219,120.6504,136.00
TSMIP,B061(TCU061),24.1345,120.5568,33.00
TSMIP,B062(TCU062),24.1149,120.6842,65.00
TSMIP,B063(TCU063),24.1078,120.6238,34.00
TSMIP,B064(TCU064),24.3446,120.6194,50.00
TSMIP,B066(TCU066),24.2138,120.7043,174.00
TSMIP,B067(TCU067),24.0900,120.7282,98.00
TSMIP,B068(TCU068),24.2760,120.7732,283.00
TSMIP,B069(TCU069),24.2596,120.8310,360.00
TSMIP,B070(TCU070),24.1964,120.5475,6.00
TSMIP,B071(TCU071),23.9840,120.7952,219.00
TSMIP,B072(TCU072),24.0390,120.8580,315.00
TSMIP,B073(TCU073),24.0124,120.9573,465.00
TSMIP,B074(TCU074),23.9613,120.9711,447.00
TSMIP,B075(TCU075),23.9815,120.6876,110.00
TSMIP,B077(TCU077),23.8272,120.7874,235.00
TSMIP,B078(TCU078),23.8096,120.8543,289.00
TSMIP,B081(TCU081),24.8283,121.0142,31.00
TSMIP,B082(TCU082),24.1456,120.6841,89.00
TSMIP,B083(TCU083),24.9671,121.1869,131.00
TSMIP,B084(TCU084),23.8813,120.9082,999.00
TSMIP,B085(TCU085),24.6737,121.3666,685.00
TSMIP,B090(TCU090),23.6462,120.6559,241.00
TSMIP,B091(TCU091),24.9815,121.2706,108.00
TSMIP,B095(TCU095),24.6888,121.0199,104.00
TSMIP,B097(TCU097),24.7884,120.9273,13.00
TSMIP,B099(TCU099),24.1364,120.6993,85.00
TSMIP,B102(TCU102),24.2470,120.7286,231.00
TSMIP,B103(TCU103),24.3075,120.7151,223.00
TSMIP,B104(TCU104),24.2442,120.6093,210.00
TSMIP,B105(TCU105),24.2382,120.5670,55.00
TSMIP,B107(TCU107),24.0718,120.5468,17.00
TSMIP,B110(TCU110),23.9605,120.5799,26.00
TSMIP,B116(TCU116),23.8556,120.5889,49.00
TSMIP,B120(TCU120),23.9774,120.6214,238.00
TSMIP,B122(TCU122),23.8118,120.6179,85.00
